"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02172V02618","Taxation Class","C03396V04087","Colour","UNIT","VALUE"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","02","Grey","Number","175"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","03","White","Number","259"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","04","Beige","Number","26"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","05","Brown","Number","13"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","06","Orange","Number","89"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","07","Yellow","Number","150"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","08","Green","Number","211"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","09","Blue","Number","747"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","10","Purple","Number","38"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","12","Red","Number","851"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","13","Bronze","Number","10"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","14","Gold","Number","29"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","15","Silver","Number","442"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","17","Multi-coloured","Number","108"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","-","All colours","Number","9872"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","01","Black","Number","1385"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","02","Grey","Number","958"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","03","White","Number","1518"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","04","Beige","Number","145"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","05","Brown","Number","170"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","06","Orange","Number","102"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","07","Yellow","Number","589"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","08","Green","Number","387"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","09","Blue","Number","1278"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","10","Purple","Number","35"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","12","Red","Number","1284"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","13","Bronze","Number","28"
"TEA26","New and Secondhand Vehicles","2010","2010","07","All Other Vehicles","14","Gold","Number","271"
